id,Description ,domain,gd,gd_val,q,q_val,um,um_val,geo,geo_val,country,search_source,source_val,expected_response,,User-Agent
1,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test1,um,0,iptest,23.16.0.1,CA,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
2,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test2,um,0,iptest,3.0.0.1,US,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
3,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test3,um,0,iptest,1.43.255.255,AU,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
4,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test4,um,0,iptest,2.175.255.255,DE,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
5,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test5,um,0,iptest,2.143.255.255,ES,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
6,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test6,um,0,iptest,2.15.255.255,FR,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
7,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test7,um,0,iptest,2.31.255.255,GB,,,bing.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
8,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test8,um,0,iptest,2.47.255.255,IT,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
9,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test9,um,0,iptest,1.0.31.255,JP,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
10,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test10,um,0,iptest,5.2.79.255,NL,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
11,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test11,um,0,iptest,14.1.63.255,NZ,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
12,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test12,um,0,iptest,31.31.128.1,BE,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
13,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test13,um,0,iptest,5.44.127.255,CH,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
14,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test14,um,0,iptest,78.141.128.0,LU,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
15,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test15,um,0,iptest,5.100.176.1,NO,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
16,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test16,um,0,iptest,37.33.0.1,FI,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
17,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test17,um,0,iptest,2.248.0.1,SE,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
18,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test18,um,0,iptest,5.198.144.2,AT,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
19,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test19,um,0,iptest,2.104.0.0,DK,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
20,Allocation mode 0,se-i-search-app.us-east-1.elasticbeanstalk.com/Results.aspx,gd,SY1000134,q,test20,um,0,iptest,143.54.0.1,BR,,,google.com,,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Mobile Safari/537.36"
